,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,cross_subject
214,0.3924050632911392,0.26582278481012656,1.8850445747375488,lew,500,80,1884,7,9,False,1.0,True
215,0.5457875457875457,0.4981684981684982,1.9688308238983154,lew,500,80,1884,8,1,False,1.0,True
216,0.6555555555555556,0.5777777777777777,1.890096664428711,lew,500,80,1884,8,3,False,1.0,True
217,0.34686346863468637,0.24354243542435425,1.5230712890625,lew,500,80,1884,8,7,False,1.0,True
218,1.0,1.0,0.0,lew,500,80,1884,8,8,False,1.0,True
219,0.4936708860759494,0.39662447257383965,1.617938756942749,lew,500,80,1884,8,9,False,1.0,True
220,0.46153846153846156,0.2673992673992674,1.3536536693572998,lew,500,80,1884,9,1,False,1.0,True
221,0.48518518518518516,0.2851851851851852,1.6211614608764648,lew,500,80,1884,9,3,False,1.0,True
222,0.25461254612546125,0.24723247232472326,1.2360758781433105,lew,500,80,1884,9,7,False,1.0,True
223,0.5265151515151515,0.3977272727272727,1.639730453491211,lew,500,80,1884,9,8,False,1.0,True
224,1.0,1.0,0.0,lew,500,80,1884,9,9,False,1.0,True
225,1.0,1.0,0.0,lew,500,80,929,1,1,False,1.0,True
226,0.662962962962963,0.5222222222222223,1.5942268371582031,lew,500,80,929,1,3,False,1.0,True
227,0.5571955719557196,0.5055350553505535,1.5958809852600098,lew,500,80,929,1,7,False,1.0,True
228,0.5946969696969697,0.39015151515151514,1.945744514465332,lew,500,80,929,1,8,False,1.0,True
229,0.43037974683544306,0.26582278481012656,1.8865177631378174,lew,500,80,929,1,9,False,1.0,True
230,0.673992673992674,0.3443223443223443,1.5861098766326904,lew,500,80,929,3,1,False,1.0,True
231,1.0,1.0,0.0,lew,500,80,929,3,3,False,1.0,True
232,0.6420664206642066,0.30996309963099633,1.5947401523590088,lew,500,80,929,3,7,False,1.0,True
233,0.6931818181818182,0.4962121212121212,1.8683104515075684,lew,500,80,929,3,8,False,1.0,True
234,0.45569620253164556,0.2742616033755274,1.838958740234375,lew,500,80,929,3,9,False,1.0,True
235,0.5714285714285714,0.5201465201465202,1.5353741645812988,lew,500,80,929,7,1,False,1.0,True
236,0.6370370370370371,0.5333333333333333,1.574007272720337,lew,500,80,929,7,3,False,1.0,True
237,1.0,1.0,0.0,lew,500,80,929,7,7,False,1.0,True
238,0.4356060606060606,0.26136363636363635,1.9418585300445557,lew,500,80,929,7,8,False,1.0,True
239,0.3924050632911392,0.26582278481012656,1.8589131832122803,lew,500,80,929,7,9,False,1.0,True
240,0.5457875457875457,0.4981684981684982,1.9271409511566162,lew,500,80,929,8,1,False,1.0,True
241,0.6555555555555556,0.5777777777777777,1.88059401512146,lew,500,80,929,8,3,False,1.0,True
242,0.34686346863468637,0.24354243542435425,1.9611687660217285,lew,500,80,929,8,7,False,1.0,True
243,1.0,1.0,0.0,lew,500,80,929,8,8,False,1.0,True
244,0.4936708860759494,0.39662447257383965,1.6294324398040771,lew,500,80,929,8,9,False,1.0,True
245,0.46153846153846156,0.2673992673992674,1.8930556774139404,lew,500,80,929,9,1,False,1.0,True
246,0.48518518518518516,0.2851851851851852,1.8640692234039307,lew,500,80,929,9,3,False,1.0,True
247,0.25461254612546125,0.24723247232472326,1.813948392868042,lew,500,80,929,9,7,False,1.0,True
248,0.5265151515151515,0.3977272727272727,1.1236324310302734,lew,500,80,929,9,8,False,1.0,True
249,1.0,1.0,0.0,lew,500,80,929,9,9,False,1.0,True
250,1.0,1.0,0.0,spdsw,500,80,2473,1,1,False,1.0,True
251,0.6333333333333333,0.5222222222222223,0.7662439346313477,spdsw,500,80,2473,1,3,False,1.0,True
252,0.5719557195571956,0.5055350553505535,0.6947629451751709,spdsw,500,80,2473,1,7,False,1.0,True
253,0.6893939393939394,0.39015151515151514,0.6689224243164062,spdsw,500,80,2473,1,8,False,1.0,True
254,0.510548523206751,0.26582278481012656,0.6720983982086182,spdsw,500,80,2473,1,9,False,1.0,True
255,0.673992673992674,0.3443223443223443,0.683955192565918,spdsw,500,80,2473,3,1,False,1.0,True
256,1.0,1.0,0.0,spdsw,500,80,2473,3,3,False,1.0,True
257,0.6937269372693727,0.30996309963099633,0.751335620880127,spdsw,500,80,2473,3,7,False,1.0,True
258,0.7045454545454546,0.4962121212121212,0.6740326881408691,spdsw,500,80,2473,3,8,False,1.0,True
259,0.5274261603375527,0.2742616033755274,0.6747784614562988,spdsw,500,80,2473,3,9,False,1.0,True
260,0.5641025641025641,0.5201465201465202,0.6793129444122314,spdsw,500,80,2473,7,1,False,1.0,True
261,0.6777777777777778,0.5333333333333333,0.6827600002288818,spdsw,500,80,2473,7,3,False,1.0,True
262,1.0,1.0,0.0,spdsw,500,80,2473,7,7,False,1.0,True
263,0.6060606060606061,0.26136363636363635,0.6763448715209961,spdsw,500,80,2473,7,8,False,1.0,True
264,0.459915611814346,0.26582278481012656,0.6693685054779053,spdsw,500,80,2473,7,9,False,1.0,True
265,0.6190476190476191,0.4981684981684982,0.6788394451141357,spdsw,500,80,2473,8,1,False,1.0,True
266,0.6888888888888889,0.5777777777777777,0.6771998405456543,spdsw,500,80,2473,8,3,False,1.0,True
267,0.4833948339483395,0.24354243542435425,0.6745474338531494,spdsw,500,80,2473,8,7,False,1.0,True
268,1.0,1.0,0.0,spdsw,500,80,2473,8,8,False,1.0,True
269,0.5443037974683544,0.39662447257383965,0.6618928909301758,spdsw,500,80,2473,8,9,False,1.0,True
270,0.45054945054945056,0.2673992673992674,0.6572186946868896,spdsw,500,80,2473,9,1,False,1.0,True
271,0.44814814814814813,0.2851851851851852,0.6662588119506836,spdsw,500,80,2473,9,3,False,1.0,True
272,0.33579335793357934,0.24723247232472326,0.7490110397338867,spdsw,500,80,2473,9,7,False,1.0,True
273,0.5606060606060606,0.3977272727272727,0.733903169631958,spdsw,500,80,2473,9,8,False,1.0,True
274,1.0,1.0,0.0,spdsw,500,80,2473,9,9,False,1.0,True
275,1.0,1.0,0.0,spdsw,500,80,7490,1,1,False,1.0,True
