,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,dataset,resample,epoch_tmin,epoch_tmax,cov_fs,cov_time_window,cross_subject,lr
165,0.56,0.565,2.280520439147949,spdsw,500,500,7490,2,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
166,0.505,0.51,2.297332763671875,spdsw,500,500,7490,2,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
167,0.58,0.51,2.279083013534546,spdsw,500,500,7490,2,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
168,0.95,0.83,2.2855770587921143,spdsw,500,500,7490,3,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
169,0.9,0.605,2.285431146621704,spdsw,500,500,7490,3,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
170,1.0,1.0,0.0,spdsw,500,500,7490,3,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
171,0.775,0.61,2.2587695121765137,spdsw,500,500,7490,3,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
172,0.71,0.5,2.3424723148345947,spdsw,500,500,7490,3,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
173,0.585,0.545,2.260209798812866,spdsw,500,500,7490,3,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
174,0.59,0.51,2.2720422744750977,spdsw,500,500,7490,3,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
175,0.535,0.5,2.3050167560577393,spdsw,500,500,7490,3,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
176,0.625,0.5,2.303584575653076,spdsw,500,500,7490,3,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
177,0.54,0.5,2.271164655685425,spdsw,500,500,7490,3,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
178,0.415,0.5,2.2731845378875732,spdsw,500,500,7490,3,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
179,0.56,0.5,2.252915859222412,spdsw,500,500,7490,3,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
180,0.82,0.5,2.3258540630340576,spdsw,500,500,7490,4,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
181,0.82,0.82,2.2522079944610596,spdsw,500,500,7490,4,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
182,0.735,0.655,2.3036842346191406,spdsw,500,500,7490,4,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
183,1.0,1.0,0.0,spdsw,500,500,7490,4,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
184,0.63,0.505,2.2868235111236572,spdsw,500,500,7490,4,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
185,0.53,0.535,2.269793748855591,spdsw,500,500,7490,4,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
186,0.655,0.58,2.2602667808532715,spdsw,500,500,7490,4,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
187,0.585,0.495,2.2616653442382812,spdsw,500,500,7490,4,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
188,0.55,0.54,2.2696480751037598,spdsw,500,500,7490,4,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
189,0.555,0.565,2.431610107421875,spdsw,500,500,7490,4,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
190,0.475,0.54,2.3397634029388428,spdsw,500,500,7490,4,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
191,0.525,0.515,2.3471462726593018,spdsw,500,500,7490,4,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
